feature,mean,std,min,25%,50%,75%,max
possessionTime_diff,-15.301944338543652,539.5982285278469,-1762.0,-370.0,-34.0,354.0,1936.0
interceptions_diff,-0.020587113991612657,1.2278375961062895,-5.0,-1.0,0.0,1.0,5.0
fumblesLost_diff,0.02706824247045368,1.0811960060520467,-4.0,-1.0,0.0,1.0,4.0
turnovers_diff,0.006481128478841022,1.5876249382736698,-6.0,-1.0,0.0,1.0,5.0
yardsPerRushAttempt_diff,0.03957300800609988,2.0225589219078963,-7.299999999999999,-1.2999999999999998,0.0999999999999996,1.3999999999999997,9.3
rushingYards_diff,3.0697674418604652,108.41083579739929,-458.0,-67.0,4.0,75.5,394.0
yardsPerPass_diff,0.0617994662600076,2.9772037717367703,-19.0,-1.6999999999999997,0.0999999999999996,1.8000000000000007,36.5
netPassingYards_diff,-1.6805184902783072,115.7710764123519,-425.0,-79.0,0.0,78.0,402.0
totalYards_diff,1.3964925657643918,99.21838253263311,-375.0,-66.0,4.0,68.0,328.0
firstDowns_diff,0.1704155547083492,6.614560604721503,-21.0,-4.0,0.0,4.0,23.0
tacklesForLoss_diff,0.06599313762866946,3.7975004117876354,-26.0,-2.0,0.0,3.0,25.0
tackles_diff,-1.1143728555089591,14.038028444820876,-91.0,-9.0,-1.0,7.0,86.0
sacks_diff,0.12542889820815858,2.49578087094863,-12.0,-1.0,0.0,2.0,18.0
qbHurries_diff,0.6900495615707205,2.8980259920296443,-15.0,-1.0,0.0,2.0,19.0
passesDeflected_diff,0.4258482653450248,3.3046050830620968,-18.0,-2.0,0.0,2.0,16.0
thirdDown%_diff,0.0006329645440386857,0.16601588759095035,-0.5555555555555556,-0.11176470588235285,0.0,0.11305271096292765,0.5666666666666667
