"Id","HomePoints","AwayPoints"
"401012246","51","14"
"401012247","55","20"
"401012248","21","16"
"401012249","53","6"
"401012250","45","0"
"401012251","35","20"
"401012253","27","47"
"401012254","63","6"
"401012255","51","14"
"401012256","49","15"
"401012257","14","40"
"401012258","59","7"
"401012259","35","7"
"401012260","57","7"
"401012261","34","27"
"401012262","63","9"
"401012263","16","27"
"401012264","31","0"
"401012265","76","41"
"401012266","10","31"
"401012267","40","13"
"401012268","17","41"
"401012269","59","3"
"401012270","26","28"
"401012271","41","10"
"401012272","17","44"
"401012273","21","22"
"401012274","48","10"
"401012275","49","7"
"401012276","48","10"
"401012277","7","62"
"401012278","56","10"
"401012279","37","40"
"401012281","24","0"
"401012282","48","10"
"401012283","22","17"
"401012284","45","23"
"401012285","34","3"
"401012286","28","7"
"401012287","38","21"
"401012288","38","17"
"401012289","29","43"
"401012290","21","47"
"401012291","14","37"
"401012292","56","14"
"401012293","24","17"
"401012294","24","13"
"401012295","38","12"
"401012296","24","10"
"401012297","45","16"
"401012298","6","13"
"401012299","31","27"
"401012300","31","65"
"401012301","27","19"
"401012302","41","13"
"401012303","70","21"
"401012304","23","9"
"401012305","37","35"
"401012306","20","14"
"401012307","39","10"
"401012308","33","37"
"401012309","24","30"
"401012310","36","16"
"401012311","23","26"
"401012312","27","37"
"401012313","23","0"
"401012314","14","7"
"401012315","19","3"
"401012316","16","31"
"401012317","65","33"
"401012318","21","58"
"401012319","31","45"
"401012320","36","17"
"401012321","28","13"
"401012322","14","15"
"401012323","27","24"
"401012324","28","24"
"401012325","17","38"
"401012326","17","34"
"401012327","0","29"
"401012328","44","48"
"401012329","45","3"
"401012330","14","3"
"401012331","24","0"
"401012332","17","24"
"401012333","35","31"
"401012334","27","10"
"401012335","33","28"
"401012336","24","7"
"401012337","38","24"
"401012338","50","17"
"401012339","53","0"
"401012340","63","10"
"401012341","66","27"
"401012342","34","23"
"401012343","42","10"
"401012344","52","6"
"401012345","49","9"
"401012346","17","50"
"401012347","41","20"
"401012348","36","29"
"401012349","3","35"
"401012350","52","21"
"401012351","14","41"
"401012352","45","21"
"401012353","10","56"
"401012354","38","0"
"401012355","56","35"
"401012356","74","72"
"401012357","38","13"
"401012675","41","10"
"401012676","23","28"
"401012677","49","7"
"401012678","43","21"
"401012679","17","26"
"401012680","13","45"
"401012681","58","24"
"401012682","77","31"
"401012683","19","41"
"401012684","24","17"
"401012726","45","18"
"401012727","16","13"
"401012728","49","21"
"401012729","28","33"
"401012730","6","17"
"401012731","62","14"
"401012732","48","25"
"401012733","45","3"
"401012734","31","0"
"401012735","18","21"
"401012736","17","3"
"401012737","62","31"
"401012738","28","21"
"401012739","37","14"
"401012740","14","38"
"401012741","45","14"
"401012742","7","21"
"401012743","35","22"
"401012744","37","35"
"401012745","59","24"
"401012746","45","23"
"401012747","30","10"
"401012748","39","36"
"401012749","31","38"
"401012750","14","35"
"401012751","27","20"
"401012752","38","16"
"401012753","20","24"
"401012754","52","24"
"401012755","35","7"
"401012756","28","24"
"401012757","24","42"
"401012758","38","17"
"401012759","24","17"
"401012760","24","31"
"401012761","28","21"
"401012762","37","56"
"401012763","21","40"
"401012764","42","10"
"401012765","31","20"
"401012766","30","27"
"401012767","7","37"
"401012768","13","20"
"401012769","31","30"
"401012770","41","28"
"401012771","7","49"
"401012772","27","13"
"401012773","34","20"
"401012774","10","41"
"401012775","44","15"
"401012776","35","38"
"401012777","34","41"
"401012778","12","10"
"401012779","38","41"
"401012780","42","34"
"401012781","38","20"
"401012782","42","21"
"401012783","21","38"
"401012784","27","23"
"401012785","19","13"
"401012786","31","28"
"401012787","14","15"
"401012788","7","31"
"401012789","32","25"
"401012790","48","17"
"401012791","34","27"
"401012792","7","30"
"401012793","31","29"
"401012794","42","23"
"401012795","69","28"
"401012797","15","55"
"401012798","15","28"
"401012799","40","41"
"401012800","17","24"
"401012801","42","49"
"401012802","35","27"
"401012803","33","21"
"401012804","31","24"
"401012805","34","14"
"401012806","19","25"
"401012807","24","63"
"401012808","17","38"
"401012809","7","46"
"401012810","49","20"
"401012811","63","33"
"401012812","55","31"
"401012813","54","35"
"401012814","0","63"
"401012815","24","16"
"401012820","35","7"
"401012821","52","3"
"401012822","55","14"
"401012823","13","42"
"401012824","17","24"
"401012825","34","7"
"401012846","15","18"
"401012847","31","17"
"401012848","7","42"
"401012849","7","20"
"401012850","14","10"
"401012851","28","38"
"401012852","20","16"
"401012853","38","10"
"401012854","21","35"
"401012855","49","26"
"401012856","16","42"
"401012857","28","33"
"401012858","38","31"
"401012859","34","32"
"401012860","31","20"
"401012861","21","28"
"401012862","33","7"
"401012863","13","3"
"401012864","38","14"
"401012865","17","28"
"401012866","31","48"
"401012867","23","0"
"401012868","30","24"
"401012869","38","36"
"401012870","10","14"
"401012871","31","28"
"401012872","34","29"
"401012873","14","45"
"401012874","14","35"
"401012875","42","13"
"401012876","42","21"
"401012877","3","24"
"401012878","51","52"
"401012879","38","3"
"401012880","38","31"
"401012881","31","20"
"401012882","19","29"
"401012883","17","21"
"401012884","7","21"
"401012885","23","13"
"401012886","6","26"
"401012887","9","6"
"401012888","24","17"
"401012889","49","3"
"401012890","45","20"
"401012891","56","10"
"401012892","17","20"
"401012893","38","13"
"401012894","42","7"
"401012895","62","39"
"401013026","55","27"
"401013027","20","37"
"401013028","27","40"
"401013029","26","7"
"401013030","66","33"
"401013031","37","34"
"401013032","23","17"
"401013033","58","14"
"401013034","35","31"
"401013035","28","14"
"401013036","9","16"
"401013037","24","35"
"401013039","27","37"
"401013040","26","13"
"401013041","17","14"
"401013042","42","48"
"401013043","30","14"
"401013044","40","31"
"401013045","3","27"
"401013046","24","10"
"401013047","42","38"
"401013048","23","26"
"401013049","7","31"
"401013050","28","48"
"401013051","38","22"
"401013052","48","16"
"401013053","27","26"
"401013054","21","17"
"401013055","55","40"
"401013056","17","24"
"401013057","27","24"
"401013058","41","17"
"401013059","35","6"
"401013060","14","19"
"401013061","31","12"
"401013062","51","14"
"401013063","14","13"
"401013064","21","6"
"401013065","63","14"
"401013066","28","21"
"401013067","45","48"
"401013068","27","52"
"401013069","46","51"
"401013070","48","47"
"401013071","56","59"
"401013072","55","7"
"401013074","28","40"
"401013075","31","16"
"401013076","14","17"
"401013077","47","10"
"401013078","31","24"
"401013086","17","23"
"401013087","55","21"
"401013088","48","7"
"401013089","34","14"
"401013090","41","0"
"401013091","24","13"
"401013092","33","7"
"401013094","42","13"
"401013095","33","17"
"401013096","3","24"
"401013097","62","14"
"401013098","7","21"
"401013099","36","26"
"401013100","49","38"
"401013101","31","7"
"401013102","77","0"
"401013103","41","19"
"401013104","41","7"
"401013105","6","51"
"401013106","62","10"
"401013107","62","17"
"401013108","51","20"
"401013109","34","41"
"401013110","38","7"
"401013111","30","7"
"401013112","24","19"
"401013113","20","17"
"401013114","24","49"
"401013117","45","31"
"401013119","30","13"
"401013120","21","49"
"401013121","55","13"
"401013122","37","19"
"401013123","27","3"
"401013124","31","17"
"401013125","38","35"
