"Id","HomePoints","AwayPoints"
"401628319","63","0"
"401628320","70","0"
"401628321","73","3"
"401628322","17","41"
"401628323","34","3"
"401628324","31","0"
"401628325","76","0"
"401628326","56","7"
"401628327","51","0"
"401628328","51","3"
"401628329","23","19"
"401628330","69","3"
"401628331","52","0"
"401628332","13","23"
"401628333","34","27"
"401628334","20","27"
"401628335","42","16"
"401628336","39","31"
"401628337","14","21"
"401628338","45","7"
"401628339","48","3"
"401628340","6","31"
"401628341","44","21"
"401628342","52","3"
"401628343","30","23"
"401628344","38","0"
"401628345","16","12"
"401628346","10","51"
"401628347","12","31"
"401628348","52","10"
"401628349","55","0"
"401628350","10","42"
"401628351","37","27"
"401628352","45","19"
"401628353","20","33"
"401628354","12","13"
"401628355","6","40"
"401628356","17","41"
"401628357","27","21"
"401628358","34","19"
"401628359","33","36"
"401628360","71","0"
"401628361","56","7"
"401628362","36","32"
"401628363","14","24"
"401628364","41","6"
"401628365","34","17"
"401628366","52","13"
"401628367","28","45"
"401628368","30","27"
"401628369","15","25"
"401628370","50","7"
"401628371","51","3"
"401628372","26","20"
"401628373","21","17"
"401628374","41","34"
"401628375","21","27"
"401628376","42","10"
"401628377","17","20"
"401628378","35","13"
"401628379","19","14"
"401628380","24","13"
"401628381","31","13"
"401628382","3","27"
"401628383","41","10"
"401628384","40","35"
"401628385","27","25"
"401628386","41","31"
"401628387","13","20"
"401628388","29","26"
"401628389","3","45"
"401628390","3","34"
"401628391","23","17"
"401628392","10","34"
"401628393","48","20"
"401628394","24","34"
"401628395","21","17"
"401628396","9","35"
"401628397","24","17"
"401628398","15","30"
"401628399","24","14"
"401628400","34","0"
"401628401","10","24"
"401628402","26","14"
"401628403","25","58"
"401628404","38","23"
"401628405","24","27"
"401628406","31","63"
"401628407","7","17"
"401628408","34","20"
"401628409","45","20"
"401628410","59","14"
"401628411","44","20"
"401628412","28","18"
"401628413","13","42"
"401628414","28","10"
"401628415","30","23"
"401628416","33","14"
"401628417","49","17"
"401628418","7","28"
"401628419","10","20"
"401628420","27","16"
"401628421","31","17"
"401628422","48","6"
"401628423","34","30"
"401628424","38","3"
"401628425","52","7"
"401628426","48","14"
"401628427","35","14"
"401628428","43","41"
"401628429","24","17"
"401628430","59","21"
"401628431","24","17"
"401628432","20","39"
"401628433","24","3"
"401628434","56","12"
"401628435","56","0"
"401628436","31","14"
"401628437","28","14"
"401628438","11","31"
"401628439","44","42"
"401628440","14","41"
"401628441","37","17"
"401628442","26","14"
"401628443","28","21"
"401628444","14","17"
"401628445","7","17"
"401628446","23","36"
"401628448","17","19"
"401628449","31","7"
"401628450","40","0"
"401628451","50","7"
"401628452","30","10"
"401628453","16","10"
"401628454","40","7"
"401628455","52","6"
"401628456","24","14"
"401628457","12","34"
"401628458","44","7"
"401628459","13","16"
"401628460","35","3"
"401628461","28","14"
"401628462","23","17"
"401628463","77","3"
"401628464","19","20"
"401628465","24","27"
"401628466","48","0"
"401628467","28","10"
"401628468","56","0"
"401628469","37","34"
"401628470","34","27"
"401628471","49","17"
"401628472","48","0"
"401628473","30","9"
"401628474","27","13"
"401628475","30","9"
"401628476","13","42"
"401628477","38","21"
"401628478","13","27"
"401628479","28","18"
"401628480","40","0"
"401628481","27","0"
"401628482","34","3"
"401628483","14","49"
"401628484","19","24"
"401628485","24","31"
"401628486","52","14"
"401628487","14","31"
"401628488","38","20"
"401628489","27","24"
"401628490","23","19"
"401628491","24","5"
"401628492","49","14"
"401628493","56","0"
"401628494","23","26"
"401628495","21","7"
"401628496","42","28"
"401628497","27","24"
"401628498","7","38"
"401628499","10","28"
"401628500","13","34"
"401628501","21","18"
"401628502","38","21"
"401628503","24","41"
"401628504","35","7"
"401628505","27","17"
"401628506","31","10"
"401628507","24","17"
"401628508","14","7"
"401628509","52","6"
"401628510","27","11"
"401628511","50","49"
"401628512","40","16"
"401628513","10","37"
"401628514","17","21"
"401628515","32","31"
"401628516","30","33"
"401628517","7","42"
"401628518","21","7"
"401628519","56","7"
"401628520","32","20"
"401628521","29","28"
"401628522","3","23"
"401628523","0","35"
"401628524","32","35"
"401628525","38","9"
"401628526","31","17"
"401628527","40","14"
"401628528","48","23"
"401628529","24","17"
"401628530","21","17"
"401628531","13","28"
"401628532","42","20"
"401628533","17","25"
"401628534","10","47"
"401628535","42","10"
"401628536","17","38"
"401628537","20","27"
"401628538","20","26"
"401628539","13","20"
"401628540","26","21"
"401628541","20","15"
"401628542","20","17"
"401628543","39","18"
"401628544","26","19"
"401628545","45","0"
"401628546","35","6"
"401628547","38","16"
"401628548","17","31"
"401628549","28","20"
"401628550","7","31"
"401628551","13","16"
"401628552","10","49"
"401628553","31","19"
"401628554","31","38"
"401628555","38","15"
"401628556","13","29"
"401628557","50","6"
"401628558","24","17"
"401628559","25","26"
"401628560","44","25"
"401628561","13","19"
"401628562","13","10"
"401628563","28","38"
"401628564","66","0"
"401628565","44","7"
"401628566","10","13"
"401628567","14","41"
"401628568","7","24"
"401628569","49","21"
"401628570","20","13"
"401628571","35","49"
"401628572","41","38"
"401628581","45","13"
"401628582","57","3"
"401628584","26","3"
"401628586","41","24"
"401628589","34","13"
"401628590","45","3"
"401628591","38","20"
"401628593","49","14"
"401628603","40","21"
"401628625","42","45"
"401628977","14","16"
"401628978","7","66"
"401628979","28","3"
"401628980","31","24"
"401628981","49","7"
"401628982","13","31"
"401628983","14","51"
"401628984","52","3"
"401628985","35","14"
"401629030","26","21"
"401629031","48","14"
"401629032","47","3"
"401629033","29","20"
"401629034","20","23"
"401629035","17","10"
"401629036","34","27"
"401629037","23","31"
"401629038","42","47"
"401629039","14","28"
"401629040","38","23"
"401629041","34","3"
"401629042","35","31"
"401629043","23","20"
"401629044","34","20"
"401629045","3","14"
"401629046","34","35"
"401632062","62","0"
"401632064","34","31"
"401632068","31","0"
"401632071","72","14"
"401632072","24","27"
"401632459","24","21"
"401634133","38","10"
"401634169","49","0"
"401634181","42","34"
"401634197","21","3"
"401634206","31","26"
"401634212","44","20"
"401634240","41","13"
"401634247","73","17"
"401634299","38","21"
"401634300","27","34"
"401634301","31","13"
"401634302","35","12"
"401634303","59","7"
"401634304","38","22"
"401634305","55","24"
"401634306","13","28"
"401634765","15","18"
"401634766","24","26"
"401634767","38","34"
"401634768","42","21"
"401634769","23","16"
"401634770","41","13"
"401634771","27","31"
"401634772","30","29"
"401634773","36","46"
"401634779","41","44"
"401635516","59","28"
"401635517","38","35"
"401635518","31","24"
"401635525","24","21"
"401635531","56","0"
"401635532","66","20"
"401635533","20","26"
"401635534","31","28"
"401635535","49","14"
"401635536","56","9"
"401635537","38","20"
"401635538","27","28"
"401635539","41","7"
"401635540","31","14"
"401635541","31","10"
"401635542","12","20"
"401635543","59","7"
"401635544","62","0"
"401635545","45","10"
"401635546","30","20"
"401635547","38","34"
"401635548","17","37"
"401635551","14","9"
"401635552","59","35"
"401635553","17","45"
"401635554","31","19"
"401635555","15","50"
"401635556","50","70"
"401635557","66","42"
"401635558","24","43"
"401635560","21","20"
"401635561","40","14"
"401635562","21","20"
"401635563","42","16"
"401635564","24","17"
"401635565","42","14"
"401635567","24","14"
"401635568","38","39"
"401635569","13","29"
"401635570","24","14"
"401635571","27","34"
"401635572","24","34"
"401635573","7","31"
"401635574","17","24"
"401635575","17","15"
"401635576","14","49"
"401635577","34","41"
"401635578","20","24"
"401635580","38","28"
"401635581","25","33"
"401635582","20","24"
"401635583","31","24"
"401635587","23","24"
"401635588","48","31"
"401635589","45","52"
"401635590","10","40"
"401635594","44","7"
"401635595","27","28"
"401635596","36","14"
"401635597","21","6"
"401635598","14","41"
"401635599","24","27"
"401635600","21","33"
"401635601","53","31"
"401635602","11","35"
"401635604","38","31"
"401635606","37","31"
"401635607","14","24"
"401635608","19","29"
"401635609","28","23"
"401635610","19","24"
"401635612","41","21"
"401635613","24","21"
"401635614","51","14"
"401635615","31","28"
"401635616","41","7"
"401635617","37","9"
"401635618","42","14"
"401635619","7","33"
"401635620","34","23"
"401635621","38","6"
"401635622","17","23"
"401635623","42","38"
"401635624","30","35"
"401635625","34","31"
"401635627","48","25"
"401635638","30","34"
"401635639","30","31"
"401635640","37","17"
"401635659","38","41"
"401636363","48","3"
"401636364","59","31"
"401636374","34","12"
"401636380","40","10"
"401636387","30","14"
"401636606","48","3"
"401636607","49","0"
"401636608","61","39"
"401636609","48","7"
"401636610","45","3"
"401636611","7","27"
"401636612","41","6"
"401636613","52","51"
"401636614","22","10"
"401636615","45","0"
"401636616","27","34"
"401636617","45","14"
"401636618","23","12"
"401636859","37","16"
"401636860","31","3"
"401636861","9","28"
"401636862","33","7"
"401636863","20","23"
"401636864","31","7"
"401636865","16","27"
"401636866","34","35"
"401636867","28","31"
"401636868","66","21"
"401636869","10","45"
"401636870","21","38"
"401636871","14","34"
"401636872","38","9"
"401636873","34","0"
"401636874","38","31"
"401636875","52","7"
"401636876","19","22"
"401636877","30","22"
"401636879","32","28"
"401636880","28","34"
"401636881","0","20"
"401636882","27","38"
"401636883","42","20"
"401636884","44","41"
"401636885","21","48"
"401636886","10","23"
"401636887","22","28"
"401636888","35","31"
"401636889","43","21"
"401636890","14","38"
"401636891","19","30"
"401636892","27","19"
"401636893","41","19"
"401636894","28","31"
"401636895","13","19"
"401636896","16","28"
"401636897","7","34"
"401636898","38","35"
"401636899","24","14"
"401636900","38","35"
"401636901","42","14"
"401636902","35","59"
"401636903","7","13"
"401636904","18","45"
"401636905","26","31"
"401636906","38","28"
"401636907","34","23"
"401636908","17","14"
"401636909","29","27"
"401636910","35","34"
"401636911","24","37"
"401636912","37","34"
"401636913","24","19"
"401636914","22","23"
"401636915","21","42"
"401636916","56","12"
"401636917","35","31"
"401636918","24","31"
"401636919","45","36"
"401636920","38","13"
"401636921","27","41"
"401636922","21","22"
"401636923","27","3"
"401636924","13","17"
"401636925","49","24"
"401636926","34","17"
"401636927","14","24"
"401636929","35","49"
"401636930","28","23"
"401636931","10","20"
"401636932","37","21"
"401636933","41","15"
"401636934","48","56"
"401636935","49","28"
"401636936","28","31"
"401636937","31","21"
"401636938","52","0"
"401636939","14","28"
"401636940","7","49"
"401636941","45","17"
"401636942","30","18"
"401636943","13","20"
"401636944","29","21"
"401636945","52","15"
"401636999","63","17"
"401637159","70","30"
"401637162","56","14"
"401640959","49","14"
"401640979","52","16"
"401640980","38","20"
"401640981","17","10"
"401640982","31","24"
"401640983","30","21"
"401640984","7","10"
"401640985","34","13"
"401640986","34","31"
"401640987","27","26"
"401640988","35","24"
"401640989","24","30"
"401640990","28","10"
"401640991","35","24"
"401640992","",""
"401640993","27","24"
"401640994","21","31"
"401640995","17","37"
"401640996","38","21"
"401640997","20","18"
"401640998","27","55"
"401640999","37","34"
"401641000","44","7"
"401641001","24","63"
"401641002","54","13"
"401641003","42","20"
"401641004","37","44"
"401641005","21","11"
"401641006","19","17"
"401641007","25","17"
"401641008","20","23"
"401641009","48","21"
"401641010","33","30"
"401641011","14","10"
"401641012","9","3"
"401641013","7","12"
"401641014","33","0"
"401641015","28","16"
"401641016","10","34"
"401641017","31","10"
"401641018","13","24"
"401641019","14","5"
"401641020","31","14"
"401641021","43","35"
"401641022","17","23"
"401641023","32","25"
"401641024","21","49"
"401641025","24","7"
"401641026","13","20"
"401641027","21","36"
"401641028","27","17"
"401641029","21","41"
"401641030","44","17"
"401641031","35","42"
"401641032","23","16"
"401641033","48","0"
"401641034","31","11"
"401641035","40","50"
"401641036","28","41"
"401641037","26","21"
"401641038","14","31"
"401641039","14","34"
"401641040","31","13"
"401641041","40","39"
"401643696","24","29"
"401643697","31","35"
"401643698","42","24"
"401643699","21","6"
"401643700","45","56"
"401643701","26","28"
"401643702","45","14"
"401643703","36","14"
"401643704","38","15"
"401643705","7","17"
"401643706","38","17"
"401643707","46","30"
"401643708","17","20"
"401643709","0","21"
"401643710","13","17"
"401643711","21","38"
"401643712","36","7"
"401643713","49","16"
"401643714","54","52"
"401643715","45","29"
"401643716","44","17"
"401643717","38","21"
"401643718","31","19"
"401643719","45","24"
"401643720","59","14"
"401643721","22","21"
"401643722","7","34"
"401643723","62","30"
"401643724","39","31"
"401643725","27","24"
"401643726","35","31"
"401643727","52","37"
"401643728","7","28"
"401643729","31","24"
"401643730","17","25"
"401643731","42","37"
"401643732","24","27"
"401643733","34","50"
"401643734","13","21"
"401643735","21","24"
"401643736","42","10"
"401643737","45","50"
"401643738","24","14"
"401643739","25","33"
"401643740","24","29"
"401643741","17","6"
"401643742","33","10"
"401643743","34","13"
"401643744","26","29"
"401643745","25","27"
"401643746","20","3"
"401643747","56","24"
"401643748","21","38"
"401643749","20","21"
"401643750","45","49"
"401643751","36","28"
"401643752","28","21"
"401643753","27","29"
"401643754","16","21"
"401643755","13","24"
"401643756","49","28"
"401643757","28","0"
"401643758","21","42"
"401643759","24","10"
"401643760","55","10"
"401643761","38","35"
"401643762","41","20"
"401643763","19","22"
"401643764","13","17"
"401643765","28","22"
"401643766","41","20"
"401643767","16","27"
"401643768","20","31"
"401643769","34","18"
"401643770","42","37"
"401643771","38","30"
"401643772","38","14"
"401643773","14","15"
"401643774","7","30"
"401643775","38","52"
"401643776","34","27"
"401643777","13","6"
"401643778","14","20"
"401643779","28","24"
"401643780","32","6"
"401643781","27","20"
"401643782","35","10"
"401643783","49","10"
"401643784","38","17"
"401643785","19","21"
"401643786","20","28"
"401643787","42","14"
"401643788","87","10"
"401643789","24","49"
"401643790","14","48"
"401643791","33","41"
"401643792","21","38"
"401643793","63","7"
"401643794","27","20"
"401643795","27","30"
"401643796","9","13"
"401643797","17","38"
"401643798","45","37"
"401643799","52","37"
"401643800","18","16"
"401643801","21","19"
"401643802","13","23"
"401643803","39","7"
"401643804","24","23"
"401643805","14","21"
"401643806","34","24"
"401643807","38","21"
"401643808","41","9"
"401643809","25","9"
"401643810","35","20"
"401643811","24","34"
"401643812","28","14"
"401643813","24","14"
"401643814","28","44"
"401643815","47","19"
"401643816","33","26"
"401643817","32","15"
"401643818","34","31"
"401643819","46","17"
"401643820","17","23"
"401643821","28","20"
"401643822","28","23"
"401643823","30","34"
"401643824","38","24"
"401643825","38","24"
"401643826","38","7"
"401643827","55","19"
"401643828","17","38"
"401643829","3","37"
"401643830","20","28"
"401643831","20","27"
"401643832","31","19"
"401643833","32","35"
"401643834","22","24"
"401643835","58","3"
"401643836","34","20"
"401643837","6","26"
"401643838","35","42"
"401643839","28","21"
"401643840","51","30"
"401643841","14","35"
"401643842","44","52"
"401643843","38","45"
"401643844","29","20"
"401643845","27","48"
"401643846","33","35"
"401643847","32","40"
"401643848","23","37"
"401643849","52","20"
"401643858","35","14"
"401644683","13","6"
"401644684","30","20"
"401644685","14","38"
"401644686","30","20"
"401644687","46","7"
"401644688","21","27"
"401644689","34","7"
"401644690","20","9"
"401644691","12","28"
"401644727","30","13"
"401644728","49","10"
"401644729","41","17"
"401644730","66","10"
"401644731","54","15"
"401644732","17","23"
"401644733","31","20"
"401644734","21","6"
"401644735","37","34"
"401644736","20","23"
"401644737","36","0"
"401644738","30","10"
"401644739","33","52"
"401644740","20","27"
"401644741","42","45"
"401644742","34","24"
"401644743","35","37"
"401644744","7","17"
"401644745","30","15"
"401644746","25","27"
"401644748","27","6"
"401644749","41","48"
"401644750","38","34"
"401644751","6","13"
"401644752","25","21"
"401644753","25","23"
"401644754","26","41"
"401644755","47","16"
"401644756","52","21"
"401644757","30","41"
"401644758","28","29"
"401644760","13","23"
"401644761","0","41"
"401644762","28","42"
"401644763","51","48"
"401644764","31","13"
"401644765","37","10"
"401644766","29","16"
"401644767","35","10"
