"Id","Season","Week","SeasonType","StartDate","StartTimeTBD","Completed","NeutralSite","ConferenceGame","HomeId","HomeTeam","HomeClassification","HomeConference","HomePoints","HomeLineScores","AwayId","AwayTeam","AwayClassification","AwayConference","AwayPoints","AwayLineScores"
"401628319","2024","1","regular","2024-08-31T23:00:00.000Z","false","true","false","false","333","Alabama","fbs","SEC","63","21,21,14,7","98","Western Kentucky","fbs","Conference USA","0","0,0,0,0"
"401628320","2024","1","regular","2024-08-29T23:30:00.000Z","false","true","true","false","8","Arkansas","fbs","SEC","70","28,21,7,14","2029","Arkansas-Pine Bluff","fcs","SWAC","0","0,0,0,0"
"401628321","2024","1","regular","2024-08-31T23:30:00.000Z","false","true","false","false","2","Auburn","fbs","SEC","73","28,24,14,7","2010","Alabama A&M","fcs","SWAC","3","0,3,0,0"
"401628322","2024","1","regular","2024-08-31T19:30:00.000Z","false","true","false","false","57","Florida","fbs","SEC","17","3,7,0,7","2390","Miami","fbs","ACC","41","7,17,14,3"
"401628323","2024","1","regular","2024-08-31T16:00:00.000Z","false","true","true","false","61","Georgia","fbs","SEC","34","0,6,14,14","228","Clemson","fbs","ACC","3","0,0,3,0"
"401628324","2024","1","regular","2024-08-31T23:45:00.000Z","false","true","false","false","96","Kentucky","fbs","SEC","31","7,17,7","2572","Southern Miss","fbs","Sun Belt","0","0,0,0"
"401628325","2024","1","regular","2024-08-31T23:00:00.000Z","false","true","false","false","145","Ole Miss","fbs","SEC","76","24,28,21,3","231","Furman","fcs","Southern","0","0,0,0,0"
"401628326","2024","1","regular","2024-08-31T22:00:00.000Z","false","true","false","false","344","Mississippi State","fbs","SEC","56","14,21,7,14","2198","Eastern Kentucky","fcs","UAC","7","0,7,0,0"
"401628327","2024","1","regular","2024-08-30T00:00:00.000Z","false","true","false","false","142","Missouri","fbs","SEC","51","28,7,10,6","93","Murray State","fcs","MVFC","0","0,0,0,0"
"401628328","2024","1","regular","2024-08-30T23:00:00.000Z","false","true","false","false","201","Oklahoma","fbs","SEC","51","17,17,3,14","218","Temple","fbs","American Athletic","3","0,0,3,0"
"401628329","2024","1","regular","2024-08-31T20:15:00.000Z","false","true","false","false","2579","South Carolina","fbs","SEC","23","10,3,3,7","295","Old Dominion","fbs","Sun Belt","19","7,0,9,3"
"401628330","2024","1","regular","2024-08-31T16:45:00.000Z","false","true","false","false","2633","Tennessee","fbs","SEC","69","24,21,10,14","236","Chattanooga","fcs","Southern","3","0,0,3,0"
"401628331","2024","1","regular","2024-08-31T19:30:00.000Z","false","true","false","false","251","Texas","fbs","SEC","52","7,24,14,7","36","Colorado State","fbs","Mountain West","0","0,0,0,0"
"401628332","2024","1","regular","2024-08-31T23:30:00.000Z","false","true","false","false","245","Texas A&M","fbs","SEC","13","3,3,0,7","87","Notre Dame","fbs","FBS Independents","23","3,3,7,10"
"401628333","2024","1","regular","2024-08-31T16:00:00.000Z","false","true","false","false","238","Vanderbilt","fbs","SEC","34","3,14,3,7,7","259","Virginia Tech","fbs","ACC","27","0,3,10,14,0"
"401628334","2024","1","regular","2024-09-01T23:30:00.000Z","false","true","true","false","99","LSU","fbs","SEC","20","0,10,7,3","30","USC","fbs","Big Ten","27","0,10,3,14"
"401628335","2024","2","regular","2024-09-07T23:00:00.000Z","false","true","false","false","333","Alabama","fbs","SEC","42","7,7,0,28","58","South Florida","fbs","American Athletic","16","3,3,7,3"
"401628336","2024","2","regular","2024-09-07T16:00:00.000Z","false","true","false","false","197","Oklahoma State","fbs","Big 12","39","0,7,6,18,0,8","8","Arkansas","fbs","SEC","31","14,7,0,10,0,0"
"401628337","2024","2","regular","2024-09-07T19:30:00.000Z","false","true","false","false","2","Auburn","fbs","SEC","14","7,0,0,7","25","California","fbs","ACC","21","7,7,0,7"
"401628338","2024","2","regular","2024-09-07T23:00:00.000Z","false","true","false","false","57","Florida","fbs","SEC","45","7,7,14,17","2535","Samford","fcs","Southern","7","0,0,7,0"
"401628339","2024","2","regular","2024-09-07T18:00:00.000Z","false","true","false","false","61","Georgia","fbs","SEC","48","14,10,21,3","2635","Tennessee Tech","fcs","Big South-OVC","3","0,0,0,3"
"401628340","2024","2","regular","2024-09-07T19:30:00.000Z","false","true","false","true","96","Kentucky","fbs","SEC","6","0,6,0,0","2579","South Carolina","fbs","SEC","31","7,3,14,7"
"401628341","2024","2","regular","2024-09-07T23:30:00.000Z","false","true","false","false","99","LSU","fbs","SEC","44","9,14,21,0","2447","Nicholls","fcs","Southland","21","7,7,7,0"
"401628342","2024","2","regular","2024-09-07T20:15:00.000Z","false","true","false","false","145","Ole Miss","fbs","SEC","52","17,14,14,7","2393","Middle Tennessee","fbs","Conference USA","3","0,3,0,0"
"401628343","2024","2","regular","2024-09-08T02:30:00.000Z","false","true","false","false","9","Arizona State","fbs","Big 12","30","10,17,3,0","344","Mississippi State","fbs","SEC","23","0,3,7,13"
"401628344","2024","2","regular","2024-09-07T23:00:00.000Z","false","true","false","false","142","Missouri","fbs","SEC","38","3,21,7,7","2084","Buffalo","fbs","Mid-American","0","0,0,0,0"
"401628345","2024","2","regular","2024-09-07T23:45:00.000Z","false","true","false","false","201","Oklahoma","fbs","SEC","16","7,7,0,2","248","Houston","fbs","Big 12","12","3,3,6,0"
"401628346","2024","2","regular","2024-09-07T23:30:00.000Z","false","true","true","false","152","NC State","fbs","ACC","10","0,3,7,0","2633","Tennessee","fbs","SEC","51","7,13,17,14"
"401628347","2024","2","regular","2024-09-07T16:00:00.000Z","false","true","false","false","130","Michigan","fbs","Big Ten","12","0,3,3,6","251","Texas","fbs","SEC","31","7,17,7,0"
"401628348","2024","2","regular","2024-09-07T16:45:00.000Z","false","true","false","false","245","Texas A&M","fbs","SEC","52","14,24,7,7","2377","McNeese","fcs","Southland","10","0,0,0,10"
"401628349","2024","2","regular","2024-09-07T23:30:00.000Z","false","true","false","false","238","Vanderbilt","fbs","SEC","55","10,17,7,21","2016","Alcorn State","fcs","SWAC","0","0,0,0,0"
"401628350","2024","3","regular","2024-09-14T16:00:00.000Z","false","true","false","false","275","Wisconsin","fbs","Big Ten","10","3,0,7,0","333","Alabama","fbs","SEC","42","7,14,14,7"
"401628351","2024","3","regular","2024-09-14T20:15:00.000Z","false","true","false","false","8","Arkansas","fbs","SEC","37","3,17,7,10","5","UAB","fbs","American Athletic","27","10,10,0,7"
"401628352","2024","3","regular","2024-09-14T23:30:00.000Z","false","true","false","false","2","Auburn","fbs","SEC","45","14,3,14,14","167","New Mexico","fbs","Mountain West","19","10,3,0,6"
"401628353","2024","3","regular","2024-09-14T19:30:00.000Z","false","true","false","true","57","Florida","fbs","SEC","20","0,0,14,6","245","Texas A&M","fbs","SEC","33","10,10,13,0"
"401628354","2024","3","regular","2024-09-14T23:30:00.000Z","false","true","false","true","96","Kentucky","fbs","SEC","12","3,3,3,3","61","Georgia","fbs","SEC","13","0,3,3,7"
"401628355","2024","3","regular","2024-09-14T22:30:00.000Z","false","true","false","false","154","Wake Forest","fbs","ACC","6","3,3,0,0","145","Ole Miss","fbs","SEC","40","20,3,7,10"
"401628356","2024","3","regular","2024-09-14T23:30:00.000Z","false","true","false","false","344","Mississippi State","fbs","SEC","17","0,3,7,7","2649","Toledo","fbs","Mid-American","41","7,21,7,6"
"401628357","2024","3","regular","2024-09-14T16:45:00.000Z","false","true","false","false","142","Missouri","fbs","SEC","27","3,14,7,3","103","Boston College","fbs","ACC","21","7,7,0,7"
"401628358","2024","3","regular","2024-09-14T19:30:00.000Z","false","true","false","false","201","Oklahoma","fbs","SEC","34","7,14,3,10","2655","Tulane","fbs","American Athletic","19","0,6,7,6"
"401628359","2024","3","regular","2024-09-14T16:00:00.000Z","false","true","false","true","2579","South Carolina","fbs","SEC","33","7,17,0,9","99","LSU","fbs","SEC","36","0,16,6,14"
"401628360","2024","3","regular","2024-09-14T23:45:00.000Z","false","true","false","false","2633","Tennessee","fbs","SEC","71","37,28,3,3","2309","Kent State","fbs","Mid-American","0","0,0,0,0"
"401628361","2024","3","regular","2024-09-14T23:00:00.000Z","false","true","false","false","251","Texas","fbs","SEC","56","14,14,14,14","2636","UTSA","fbs","American Athletic","7","0,7,0,0"
"401628362","2024","3","regular","2024-09-14T23:00:00.000Z","false","true","false","false","2247","Georgia State","fbs","Sun Belt","36","3,9,10,14","238","Vanderbilt","fbs","SEC","32","0,10,0,22"
"401628363","2024","4","regular","2024-09-21T19:30:00.000Z","false","true","false","true","2","Auburn","fbs","SEC","14","0,0,7,7","8","Arkansas","fbs","SEC","24","0,7,7,10"
"401628364","2024","4","regular","2024-09-21T16:45:00.000Z","false","true","false","false","96","Kentucky","fbs","SEC","41","3,14,10,14","195","Ohio","fbs","Mid-American","6","0,0,0,6"
"401628365","2024","4","regular","2024-09-21T19:30:00.000Z","false","true","false","false","99","LSU","fbs","SEC","34","7,10,7,10","26","UCLA","fbs","Big Ten","17","10,7,0,0"
"401628366","2024","4","regular","2024-09-21T23:45:00.000Z","false","true","false","false","145","Ole Miss","fbs","SEC","52","17,7,14,14","290","Georgia Southern","fbs","Sun Belt","13","0,7,3,3"
"401628367","2024","4","regular","2024-09-21T16:00:00.000Z","false","true","false","true","344","Mississippi State","fbs","SEC","28","7,7,7,7","57","Florida","fbs","SEC","45","7,21,7,10"
"401628368","2024","4","regular","2024-09-21T20:15:00.000Z","false","true","false","true","142","Missouri","fbs","SEC","30","7,3,10,0,10","238","Vanderbilt","fbs","SEC","27","7,6,7,0,7"
"401628369","2024","4","regular","2024-09-21T23:30:00.000Z","false","true","false","true","201","Oklahoma","fbs","SEC","15","3,0,0,12","2633","Tennessee","fbs","SEC","25","10,9,3,3"
"401628370","2024","4","regular","2024-09-21T23:30:00.000Z","false","true","false","false","2579","South Carolina","fbs","SEC","50","15,7,7,21","2006","Akron","fbs","Mid-American","7","0,7,0,0"
"401628371","2024","4","regular","2024-09-22T00:00:00.000Z","false","true","false","false","251","Texas","fbs","SEC","51","21,7,9,14","2433","UL Monroe","fbs","Sun Belt","3","0,3,0,0"
"401628372","2024","4","regular","2024-09-21T23:30:00.000Z","false","true","false","false","245","Texas A&M","fbs","SEC","26","7,6,7,6","189","Bowling Green","fbs","Mid-American","20","0,3,14,3"
"401628373","2024","5","regular","2024-09-28T19:30:00.000Z","false","true","true","true","245","Texas A&M","fbs","SEC","21","7,7,0,7","8","Arkansas","fbs","SEC","17","14,0,0,3"
