"Id","HomePoints","AwayPoints"
"401520145","17","14"
"401520146","22","17"
"401520147","35","28"
"401520148","13","10"
"401520149","56","7"
"401520150","56","13"
"401520151","59","14"
"401520152","14","0"
"401520153","14","12"
"401520154","48","7"
"401520155","30","28"
"401520156","3","23"
"401520157","24","14"
"401520158","49","3"
"401520159","44","14"
"401520160","34","24"
"401520161","38","6"
"401520162","30","3"
"401520163","31","7"
"401520164","48","7"
"401520165","35","10"
"401520166","58","21"
"401520167","31","17"
"401520168","73","7"
"401520169","38","15"
"401520170","35","39"
"401520171","24","7"
"401520172","38","14"
"401520173","52","10"
"401520174","14","24"
"401520175","17","13"
"401520176","24","11"
"401520177","28","14"
"401520178","47","13"
"401520179","49","13"
"401520180","38","17"
"401520181","41","24"
"401520182","45","24"
"401520183","24","34"
"401520184","28","6"
"401520185","57","0"
"401520186","10","14"
"401520187","30","16"
"401520188","36","14"
"401520189","46","39"
"401520190","49","7"
"401520191","45","3"
"401520192","35","14"
"401520193","41","7"
"401520194","13","20"
"401520195","34","23"
"401520196","28","17"
"401520197","51","21"
"401520198","33","17"
"401520199","72","10"
"401520200","38","20"
"401520201","48","33"
"401520202","35","7"
"401520203","45","14"
"401520204","25","6"
"401520205","31","24"
"401520206","23","19"
"401520207","38","7"
"401520208","35","7"
"401520209","63","7"
"401520210","36","7"
"401520211","3","13"
"401520212","47","21"
"401520213","30","13"
"401520214","20","37"
"401520215","17","24"
"401520216","36","20"
"401520217","31","22"
"401520218","52","22"
"401520219","31","10"
"401520220","31","38"
"401520221","45","13"
"401520222","27","55"
"401520223","38","14"
"401520224","29","16"
"401520225","24","14"
"401520226","13","30"
"401520227","41","10"
"401520228","35","3"
"401520229","37","40"
"401520230","14","21"
"401520231","42","14"
"401520232","31","6"
"401520233","7","41"
"401520234","35","14"
"401520235","14","41"
"401520236","30","27"
"401520237","35","11"
"401520238","17","27"
"401520239","31","13"
"401520240","63","10"
"401520241","48","23"
"401520242","20","35"
"401520243","35","16"
"401520244","3","17"
"401520245","47","3"
"401520246","17","24"
"401520247","40","37"
"401520249","35","14"
"401520250","24","10"
"401520251","22","7"
"401520252","49","21"
"401520253","20","17"
"401520254","38","7"
"401520255","23","17"
"401520256","29","27"
"401520257","21","0"
"401520258","34","31"
"401520259","34","27"
"401520260","31","7"
"401520261","9","31"
"401520262","23","31"
"401520263","28","14"
"401520264","37","34"
"401520265","31","0"
"401520266","17","38"
"401520267","37","30"
"401520268","29","16"
"401520269","45","14"
"401520270","27","10"
"401520271","27","24"
"401520272","7","41"
"401520273","28","45"
"401520274","28","45"
"401520275","6","38"
"401520276","28","35"
"401520277","31","10"
"401520278","10","24"
"401520279","22","34"
"401520280","20","27"
"401520281","26","16"
"401520282","33","14"
"401520283","44","17"
"401520284","35","24"
"401520285","17","40"
"401520286","7","45"
"401520287","13","41"
"401520288","55","49"
"401520289","44","19"
"401520290","52","3"
"401520291","41","20"
"401520292","33","34"
"401520293","21","38"
"401520294","30","45"
"401520295","28","35"
"401520296","21","16"
"401520297","34","17"
"401520298","24","27"
"401520299","38","14"
"401520300","51","13"
"401520301","7","20"
"401520302","20","14"
"401520303","10","52"
"401520304","41","28"
"401520305","39","49"
"401520306","23","20"
"401520307","37","17"
"401520308","27","20"
"401520309","31","38"
"401520310","20","26"
"401520311","24","13"
"401520312","13","31"
"401520313","31","23"
"401520314","14","27"
"401520315","27","13"
"401520316","24","21"
"401520317","0","19"
"401520318","21","38"
"401520319","48","18"
"401520320","24","27"
"401520321","52","7"
"401520322","63","0"
"401520323","7","41"
"401520324","27","24"
"401520325","39","41"
"401520326","20","13"
"401520327","20","37"
"401520328","6","15"
"401520329","20","17"
"401520330","42","35"
"401520331","27","33"
"401520332","7","28"
"401520333","34","20"
"401520334","3","7"
"401520335","21","28"
"401520336","21","25"
"401520337","14","31"
"401520338","10","12"
"401520339","62","0"
"401520340","0","49"
"401520341","34","12"
"401520342","17","9"
"401520343","20","12"
"401520344","21","24"
"401520345","24","27"
"401520346","29","42"
"401520347","16","41"
"401520348","34","37"
"401520349","14","21"
"401520350","27","13"
"401520351","21","14"
"401520352","20","43"
"401520353","27","33"
"401520354","27","12"
"401520355","31","14"
"401520356","33","27"
"401520357","33","7"
"401520358","33","24"
"401520359","30","17"
"401520360","10","24"
"401520361","3","23"
"401520362","42","28"
"401520363","36","39"
"401520364","30","21"
