"Id","HomePoints","AwayPoints"
"401281942","13","44"
"401281943","38","17"
"401281944","60","10"
"401281945","35","14"
"401281946","3","10"
"401281947","45","10"
"401281948","38","27"
"401281949","35","34"
"401281950","34","24"
"401281951","46","0"
"401281952","38","6"
"401282049","3","30"
"401282050","0","31"
"401282051","48","10"
"401282052","31","28"
"401282053","41","10"
"401282054","3","23"
"401282055","43","24"
"401282056","48","14"
"401282057","40","21"
"401282058","62","0"
"401282059","20","42"
"401282060","56","7"
"401282061","35","28"
"401282062","34","7"
"401282063","54","17"
"401282064","24","10"
"401282065","17","20"
"401282066","34","41"
"401282067","7","10"
"401282068","21","24"
"401282069","45","10"
"401282070","28","20"
"401282071","29","31"
"401282072","40","13"
"401282073","28","23"
"401282074","49","21"
"401282075","61","21"
"401282076","31","29"
"401282077","59","28"
"401282078","56","0"
"401282079","34","0"
"401282080","23","41"
"401282081","63","14"
"401282082","20","10"
"401282083","34","24"
"401282084","38","14"
"401282085","25","28"
"401282086","41","34"
"401282087","10","16"
"401282088","0","62"
"401282089","42","21"
"401282090","37","0"
"401282091","20","13"
"401282092","19","24"
"401282093","24","62"
"401282094","23","14"
"401282095","22","26"
"401282096","30","28"
"401282097","10","34"
"401282098","42","0"
"401282099","42","21"
"401282100","52","51"
"401282101","48","35"
"401282102","45","20"
"401282103","41","38"
"401282104","23","38"
"401282105","30","13"
"401282106","49","42"
"401282107","9","49"
"401282108","14","35"
"401282109","21","20"
"401282110","26","31"
"401282111","52","24"
"401282112","45","3"
"401282113","31","17"
"401282114","44","14"
"401282115","6","45"
"401282116","31","20"
"401282117","7","34"
"401282118","31","17"
"401282119","28","37"
"401282120","20","14"
"401282121","31","28"
"401282122","43","6"
"401282123","42","45"
"401282124","27","14"
"401282125","40","17"
"401282126","20","3"
"401282127","59","3"
"401282128","34","43"
"401282129","70","52"
"401282130","13","16"
"401282131","29","19"
"401282132","31","28"
"401282133","17","41"
"401282134","17","34"
"401282135","42","35"
"401282136","56","7"
"401282137","56","16"
"401282138","27","14"
"401282139","31","17"
"401282140","55","10"
"401282141","24","23"
"401282142","21","17"
"401282143","60","14"
"401282144","52","3"
"401282145","34","17"
"401282146","22","24"
"401282147","24","21"
"401282148","0","45"
"401282149","21","52"
"401282150","27","24"
"401282151","21","31"
"401282152","0","30"
"401282153","45","21"
"401282154","41","24"
"401282156","49","41"
"401282173","50","15"
"401282174","7","49"
"401282175","44","14"
"401282177","31","7"
"401282178","38","28"
"401282179","30","37"
"401282180","59","21"
"401282181","38","10"
"401282182","17","23"
"401282183","38","6"
"401282184","45","42"
"401282185","44","10"
"401282186","35","14"
"401282187","35","12"
"401282188","47","7"
"401282189","7","44"
"401282190","37","0"
"401282191","54","13"
"401282192","54","0"
"401282193","38","35"
"401282194","27","13"
"401282195","6","40"
"401282196","20","9"
"401282197","54","21"
"401282198","45","14"
"401282199","37","39"
"401282200","38","42"
"401282201","45","17"
"401282202","58","0"
"401282203","9","21"
"401282204","42","39"
"401282205","24","17"
"401282206","31","27"
"401282207","31","7"
"401282208","31","30"
"401282209","34","35"
"401282210","48","34"
"401282211","21","28"
"401282212","20","13"
"401282213","28","31"
"401282214","31","33"
"401282215","58","21"
"401282216","34","28"
"401282217","28","21"
"401282218","24","19"
"401282219","24","14"
"401282220","34","27"
"401282221","12","36"
"401282222","24","17"
"401282223","48","31"
"401282224","33","45"
"401282225","31","14"
"401282226","20","13"
"401282227","13","26"
"401282228","46","52"
"401282229","41","13"
"401282230","19","3"
"401282231","21","49"
"401282232","20","43"
"401282233","45","0"
"401282234","0","34"
"401282235","9","38"
"401282236","19","34"
"401282237","16","45"
"401282238","24","30"
"401282239","13","44"
"401282240","26","35"
"401282241","45","13"
"401282242","38","0"
"401282243","28","25"
"401282244","23","20"
"401282245","35","10"
"401282246","24","30"
"401282247","31","24"
"401282248","24","47"
"401282249","13","28"
"401282250","52","38"
"401282251","48","21"
"401282252","14","38"
"401282253","23","44"
"401282254","42","32"
"401282255","50","10"
"401282256","30","16"
"401282257","14","21"
"401282258","20","17"
"401282259","21","42"
"401282260","27","17"
"401282261","28","49"
"401282262","7","49"
"401282263","52","17"
"401282264","19","35"
"401282265","17","24"
"401282266","38","28"
"401282267","34","31"
"401282268","56","34"
"401282269","37","17"
"401282270","17","27"
"401282271","35","31"
"401282272","21","53"
"401282273","45","23"
"401282274","42","25"
"401282607","45","0"
"401282608","42","10"
"401282609","51","0"
"401282610","21","22"
"401282611","9","29"
"401282612","51","7"
"401282613","43","0"
"401282614","38","41"
"401282615","49","3"
"401282616","45","17"
"401282617","17","20"
"401282618","45","17"
"401282619","30","3"
"401282620","25","23"
"401282621","59","17"
"401282622","7","17"
"401282623","28","45"
"401282624","42","14"
"401282625","41","16"
"401282626","42","35"
"401282627","14","8"
"401282628","30","23"
"401282629","17","38"
"401282630","45","7"
"401282631","59","39"
"401282632","41","44"
"401282633","62","24"
"401282634","3","28"
"401282635","35","14"
"401282636","27","21"
"401282637","24","21"
"401282638","17","37"
"401282639","52","33"
"401282640","23","31"
"401282641","45","22"
"401282642","69","0"
"401282643","27","21"
"401282644","77","7"
"401282645","21","10"
"401282646","28","30"
"401282647","19","13"
"401282648","33","30"
"401282649","21","52"
"401282650","38","7"
"401282651","37","34"
"401282652","27","31"
"401282653","33","34"
"401282654","25","35"
"401282655","37","40"
"401282656","29","32"
"401282657","14","17"
"401282658","7","33"
"401282659","45","42"
"401282660","48","0"
"401282661","7","28"
"401282662","56","70"
"401282663","59","3"
"401282664","28","14"
"401282665","31","30"
"401282666","27","17"
"401282667","48","40"
"401282668","36","41"
"401282669","66","49"
"401282670","30","20"
"401282671","17","26"
"401282672","28","13"
"401282673","44","34"
"401282674","34","38"
"401282675","21","6"
"401282676","45","7"
"401282677","17","3"
"401282678","29","54"
"401282679","14","28"
"401282680","24","30"
"401282681","33","30"
"401282682","58","55"
"401282683","30","23"
"401282684","44","7"
"401282685","31","28"
"401282686","30","41"
"401282687","41","3"
"401282688","3","28"
"401282689","48","17"
"401282690","45","42"
"401282691","22","62"
"401282692","23","26"
"401282693","48","27"
"401282694","38","26"
"401282695","41","17"
"401282696","34","14"
"401282697","55","0"
"401282698","48","38"
"401282699","34","30"
"401282700","10","41"
"401282701","10","47"
"401282702","14","31"
"401282703","24","29"
"401282705","32","29"
"401282706","27","13"
"401282707","13","41"
"401282708","13","24"
"401282709","31","16"
"401282710","34","6"
"401282711","14","45"
"401282714","30","22"
"401282715","17","20"
"401282716","13","9"
"401282717","18","20"
"401282718","0","24"
"401282719","14","20"
"401282720","6","14"
"401282721","33","23"
"401282722","47","14"
"401282723","34","6"
"401282724","56","14"
"401282725","24","38"
"401282726","38","35"
"401282727","29","7"
"401282728","3","38"
"401282729","24","0"
"401282730","7","54"
