possessionTime_diff,turnovers_diff,yardsPerRushAttempt_diff,rushingYards_diff,yardsPerPass_diff,netPassingYards_diff,totalYards_diff,firstDowns_diff,tacklesForLoss_diff,sacks_diff,qbHurries_diff,passesDeflected_diff,thirdDown%_diff,home_win
-748,1.0,3.5000000000000004,119.0,0.3999999999999994,-67.0,52.0,-4.0,3.0,1.0,5.0,2.0,-0.1122994652406417,1
-324,1.0,-0.5,31.0,2.5,42.0,73.0,4.0,0.0,3.0,1.0,3.0,0.0069444444444444,1
-408,1.0,-1.0999999999999996,-73.0,-2.5999999999999996,-18.0,-91.0,0.0,-3.0,-2.0,-1.0,-1.0,-0.0714285714285714,0
-418,1.0,-1.2999999999999998,-57.0,1.8999999999999997,84.0,27.0,2.0,1.0,-2.0,-1.0,-3.0,0.2067307692307692,1
390,-2.0,0.2000000000000001,48.0,-3.0,-114.0,-66.0,0.0,3.0,-1.0,-3.0,3.0,-0.1083333333333333,0
234,3.0,-1.5999999999999996,-117.0,0.9000000000000004,129.0,12.0,3.0,-6.0,-5.0,-2.0,-2.0,-0.1040723981900452,0
338,-2.0,0.2000000000000001,74.0,3.3000000000000007,-115.0,-41.0,-8.0,-5.0,-3.0,4.0,1.0,0.0,1
-712,3.0,-2.0,-181.0,4.1,121.0,-60.0,-6.0,4.0,0.0,1.0,3.0,0.0374331550802138,0
-290,3.0,0.2000000000000001,-15.0,-1.6999999999999993,126.0,111.0,9.0,-2.0,1.0,1.0,-3.0,0.0512820512820513,0
-54,-1.0,0.6000000000000001,61.0,-0.9000000000000004,-98.0,-37.0,3.0,6.0,4.0,0.0,3.0,-0.0557275541795665,1
752,1.0,1.9,160.0,-1.1999999999999993,-107.0,53.0,7.0,-6.0,-2.0,3.0,-1.0,0.1696969696969696,1
266,0.0,-0.5000000000000004,-13.0,-4.1,-78.0,-91.0,4.0,-3.0,-1.0,0.0,1.0,0.0378787878787879,0
132,0.0,-2.0,-111.0,-1.2000000000000002,135.0,24.0,-1.0,1.0,-1.0,0.0,-6.0,0.1376518218623481,0
-402,2.0,2.8000000000000003,89.0,0.4000000000000003,-199.0,-110.0,-10.0,-3.0,-1.0,0.0,3.0,-0.1333333333333333,0
-914,2.0,-0.0999999999999996,-98.0,0.0999999999999996,11.0,-87.0,-7.0,-1.0,-3.0,0.0,1.0,-0.082051282051282,0
624,0.0,-2.9000000000000004,-61.0,-0.1000000000000005,111.0,50.0,9.0,-1.0,1.0,0.0,-2.0,0.0444444444444444,0
-58,1.0,-1.2999999999999998,-64.0,-1.5,-73.0,-137.0,-2.0,-11.0,-4.0,5.0,1.0,-0.1764705882352941,0
834,0.0,-1.0999999999999996,8.0,0.3999999999999994,74.0,82.0,7.0,-2.0,0.0,2.0,0.0,0.0,1
-616,-2.0,1.0999999999999996,29.0,-3.5,-127.0,-98.0,-6.0,0.0,1.0,-1.0,-3.0,0.1666666666666666,1
416,-1.0,2.0999999999999996,131.0,0.5999999999999996,-47.0,84.0,-4.0,9.0,6.0,0.0,1.0,-0.0047846889952152,0
-80,-3.0,0.1999999999999997,9.0,-1.0,-80.0,-71.0,-6.0,-2.0,1.0,5.0,-3.0,0.085972850678733,1
-688,0.0,-1.5999999999999996,-170.0,5.9,128.0,-42.0,-11.0,1.0,-1.0,5.0,5.0,-0.087719298245614,0
-396,-1.0,1.9,78.0,-1.5999999999999996,-104.0,-26.0,-5.0,8.0,5.0,6.0,-3.0,-0.0111111111111111,1
646,1.0,1.7000000000000002,139.0,3.3000000000000007,-10.0,129.0,-1.0,-1.0,-2.0,2.0,8.0,0.0374999999999999,1
-112,-1.0,-0.4000000000000003,27.0,1.6999999999999993,-105.0,-78.0,-7.0,3.0,1.0,2.0,4.0,0.0092879256965944,1
-756,1.0,-2.9,-384.0,-5.500000000000001,261.0,-123.0,-3.0,-4.0,-1.0,-5.0,-1.0,-0.2303921568627451,0
-84,1.0,2.3,27.0,-8.3,41.0,68.0,3.0,-1.0,1.0,0.0,-3.0,0.0384615384615384,0
-182,0.0,3.3999999999999995,212.0,3.1000000000000014,-250.0,-38.0,-6.0,0.0,1.0,2.0,3.0,-0.1545454545454545,0
802,1.0,-0.6999999999999997,27.0,-0.2000000000000001,-21.0,6.0,5.0,-5.0,-1.0,1.0,-2.0,-0.2045454545454545,1
-114,0.0,3.8,145.0,0.3000000000000007,-153.0,-8.0,1.0,9.0,1.0,-2.0,0.0,0.3452380952380952,1
-592,-1.0,-0.8000000000000003,-67.0,-1.2000000000000002,-38.0,-105.0,-4.0,2.0,3.0,4.0,-1.0,0.0666666666666666,1
-68,-1.0,-0.9000000000000004,22.0,-3.899999999999999,-251.0,-229.0,-1.0,-3.0,-4.0,-3.0,-1.0,-0.25,0
-802,0.0,3.8,145.0,-3.8000000000000007,-142.0,3.0,3.0,7.0,2.0,-2.0,0.0,-0.1349206349206349,0
-568,-2.0,4.3,130.0,-2.6000000000000005,-265.0,-135.0,-15.0,-1.0,4.0,0.0,-4.0,-0.2555555555555555,0
10,-1.0,0.7999999999999998,61.0,7.1,21.0,82.0,0.0,-5.0,0.0,1.0,4.0,0.1818181818181818,1
-1088,1.0,-0.0999999999999996,-75.0,2.8000000000000007,-22.0,-97.0,-12.0,-2.0,-2.0,0.0,1.0,-0.0117647058823529,0
-300,0.0,0.7999999999999998,36.0,3.0,-112.0,-76.0,-8.0,-2.0,-1.0,8.0,1.0,-0.1954545454545455,1
678,-1.0,0.6999999999999997,110.0,0.0,-84.0,26.0,8.0,0.0,1.0,0.0,3.0,0.0555555555555555,1
344,4.0,0.9000000000000004,101.0,-0.2000000000000001,64.0,165.0,11.0,2.0,-1.0,1.0,0.0,0.2032085561497326,0
-738,-1.0,-0.3000000000000007,-209.0,2.7,127.0,-82.0,-5.0,-3.0,-2.0,0.0,2.0,0.0,1
-514,1.0,1.7999999999999998,60.0,3.899999999999999,59.0,119.0,-1.0,9.0,2.0,-2.0,-1.0,-0.1192307692307692,1
-36,2.0,2.0999999999999996,57.0,0.5999999999999996,25.0,82.0,3.0,5.0,0.0,1.0,-2.0,0.0285714285714285,0
390,-2.0,-0.3999999999999999,49.0,0.9000000000000004,-58.0,-9.0,-2.0,5.0,3.0,1.0,6.0,-0.0561403508771929,1
644,-2.0,-0.2999999999999998,79.0,-3.4000000000000004,-55.0,24.0,9.0,-7.0,-3.0,0.0,-2.0,0.0121457489878541,1
-280,-2.0,-2.0000000000000004,-119.0,0.9000000000000004,90.0,-29.0,-1.0,-7.0,-4.0,2.0,0.0,0.2294117647058823,1
-172,0.0,1.1999999999999995,42.0,3.7,95.0,137.0,5.0,-2.0,1.0,0.0,0.0,0.0096153846153846,1
-654,-1.0,0.0,0.0,-2.0999999999999996,-80.0,-80.0,0.0,-1.0,-1.0,2.0,1.0,-0.4424242424242424,0
-374,2.0,1.8999999999999997,15.0,-1.2000000000000002,154.0,169.0,5.0,-1.0,-2.0,3.0,2.0,0.194078947368421,0
540,-2.0,3.3999999999999995,252.0,-1.7000000000000002,-393.0,-141.0,-8.0,1.0,0.0,0.0,5.0,0.0346153846153846,1
-26,-1.0,2.1,145.0,6.5,-134.0,11.0,1.0,0.0,-1.0,0.0,0.0,0.0454545454545454,1
-956,2.0,2.7,81.0,1.7000000000000002,-181.0,-100.0,-5.0,1.0,2.0,0.0,2.0,-0.2,1
368,3.0,-1.2000000000000002,23.0,3.8000000000000007,9.0,32.0,2.0,-2.0,3.0,0.0,2.0,0.1428571428571428,1
674,-1.0,-0.6999999999999997,5.0,6.6000000000000005,76.0,81.0,0.0,2.0,0.0,1.0,3.0,-0.1833333333333333,0
-134,-2.0,-1.4,-74.0,0.0,-58.0,-132.0,-13.0,-2.0,0.0,3.0,-4.0,-0.0625,0
222,1.0,-2.4000000000000004,-67.0,-2.0999999999999996,10.0,-57.0,4.0,-8.0,0.0,-5.0,0.0,0.0481283422459892,1
-830,-1.0,3.1,121.0,2.3,-95.0,26.0,-7.0,8.0,4.0,1.0,3.0,-0.0555555555555555,1
-400,0.0,-0.5,-19.0,0.0999999999999996,47.0,28.0,3.0,2.0,0.0,0.0,0.0,0.2666666666666667,1
-514,-1.0,-0.2999999999999998,-39.0,2.3,-1.0,-40.0,-7.0,1.0,1.0,1.0,2.0,0.0969696969696969,1
-749,3.0,-1.1999999999999995,-76.0,1.7000000000000002,108.0,32.0,3.0,1.0,1.0,3.0,-5.0,0.0980392156862745,1
658,-2.0,3.7,267.0,-3.4000000000000004,-241.0,26.0,-1.0,-2.0,4.0,1.0,1.0,0.1333333333333333,1
-516,-2.0,0.0,1.0,-2.3,-96.0,-95.0,-9.0,3.0,0.0,-6.0,-6.0,0.047008547008547,0
-954,2.0,-2.7,-203.0,0.0,103.0,-100.0,-3.0,-1.0,-2.0,-1.0,1.0,-0.1363636363636363,0
-876,4.0,-0.1,-6.0,4.300000000000001,68.0,62.0,-7.0,6.0,4.0,2.0,4.0,-0.0340909090909091,0
-1010,-4.0,1.1,-2.0,0.0999999999999996,-205.0,-207.0,-21.0,8.0,4.0,-2.0,-2.0,-0.1071428571428571,1
184,-1.0,-0.7999999999999998,-21.0,1.3999999999999997,100.0,79.0,2.0,1.0,1.0,0.0,5.0,0.2836538461538461,1
-940,1.0,-2.3000000000000003,-190.0,3.799999999999999,303.0,113.0,4.0,1.0,-1.0,3.0,-1.0,0.1777777777777778,1
-214,-2.0,-3.2,-196.0,3.2,135.0,-61.0,-10.0,-2.0,0.0,-1.0,0.0,0.0,1
186,1.0,-1.6,-17.0,0.8000000000000007,-87.0,-104.0,-3.0,-8.0,-3.0,-1.0,4.0,-0.0633484162895927,1
-244,0.0,-0.6,-27.0,-2.6000000000000005,-57.0,-84.0,1.0,2.0,-3.0,1.0,-3.0,0.0359477124183006,0
328,0.0,2.7,121.0,0.0,1.0,122.0,8.0,4.0,6.0,1.0,5.0,0.3660714285714286,1
690,-2.0,-1.6999999999999995,-51.0,-0.2999999999999989,71.0,20.0,4.0,-3.0,-6.0,-2.0,-4.0,0.1274509803921568,0
-14,-3.0,-1.1999999999999995,-112.0,-2.3,-35.0,-147.0,-9.0,-5.0,-3.0,-4.0,4.0,-0.1137254901960784,0
-174,2.0,1.7000000000000002,78.0,3.5999999999999996,1.0,79.0,8.0,4.0,3.0,0.0,1.0,-0.0085470085470085,1
-98,4.0,-1.3000000000000005,-51.0,1.5,133.0,82.0,4.0,1.0,2.0,-1.0,2.0,0.0274509803921568,0
-132,-2.0,-0.1000000000000005,-47.0,-3.1000000000000005,-38.0,-85.0,-7.0,0.0,1.0,0.0,-1.0,-0.4761904761904763,0
-544,1.0,5.1,182.0,0.7000000000000011,-8.0,174.0,0.0,3.0,2.0,-2.0,-3.0,0.0833333333333333,1
910,-1.0,2.6000000000000005,278.0,-4.3999999999999995,-212.0,66.0,12.0,-3.0,2.0,4.0,1.0,0.1785714285714285,1
-708,2.0,1.6000000000000003,-28.0,0.6999999999999993,140.0,112.0,1.0,4.0,0.0,1.0,-6.0,0.0555555555555555,0
896,2.0,2.4,154.0,-1.9000000000000004,-56.0,98.0,13.0,3.0,0.0,0.0,2.0,0.1923076923076923,1
-646,1.0,-3.9,-233.0,5.4,263.0,30.0,1.0,1.0,-2.0,2.0,-4.0,-0.1333333333333333,0
-800,0.0,-3.5000000000000004,-205.0,1.6999999999999993,73.0,-132.0,-9.0,-1.0,1.0,0.0,1.0,0.0769230769230769,0
386,1.0,3.8,235.0,-0.3999999999999994,-74.0,161.0,5.0,3.0,3.0,0.0,5.0,-0.0769230769230769,0
-70,2.0,-0.9000000000000004,-55.0,1.200000000000001,91.0,36.0,0.0,-2.0,-2.0,-4.0,-2.0,-0.0119047619047618,0
320,2.0,1.6999999999999995,125.0,1.1999999999999993,-42.0,83.0,7.0,0.0,0.0,1.0,3.0,0.0934065934065934,1
-286,2.0,3.6,95.0,-2.3,12.0,107.0,8.0,10.0,2.0,0.0,-6.0,-0.25,0
-88,-2.0,-2.7,-131.0,1.6000000000000003,91.0,-40.0,-1.0,-2.0,0.0,1.0,2.0,-0.1666666666666666,1
790,2.0,-0.7999999999999998,40.0,-1.7999999999999998,12.0,52.0,9.0,5.0,2.0,-1.0,-1.0,0.0714285714285714,0
-412,-1.0,-0.2000000000000001,-45.0,-1.5,-40.0,-85.0,-6.0,0.0,0.0,2.0,-4.0,-0.0999999999999999,0
-596,2.0,0.2999999999999998,-44.0,-2.1999999999999993,7.0,-37.0,-1.0,2.0,2.0,0.0,2.0,0.0119047619047618,0
1018,1.0,0.8000000000000003,82.0,-4.1,-126.0,-44.0,4.0,-5.0,-2.0,-2.0,0.0,-0.1523809523809524,0
918,-2.0,-2.5,-27.0,-1.799999999999999,17.0,-10.0,8.0,1.0,1.0,0.0,-1.0,-0.2153846153846153,1
262,0.0,-3.8,-66.0,4.6,116.0,50.0,4.0,4.0,1.0,1.0,2.0,0.1133603238866396,1
778,1.0,1.5999999999999996,120.0,-3.000000000000001,28.0,148.0,15.0,4.0,2.0,0.0,1.0,0.3181818181818182,1
-466,1.0,-1.2000000000000002,-174.0,-0.8000000000000007,73.0,-101.0,0.0,-3.0,-6.0,1.0,1.0,-0.2051282051282051,0
-424,-1.0,2.8,79.0,-0.7999999999999998,-148.0,-69.0,-10.0,-3.0,0.0,-1.0,8.0,0.0070175438596491,1
-88,1.0,-2.1,-105.0,2.1000000000000005,62.0,-43.0,-8.0,-9.0,-2.0,2.0,1.0,-0.0721153846153846,0
346,0.0,-1.0999999999999996,-167.0,-2.200000000000001,-5.0,-154.0,-14.0,0.0,2.0,0.0,-5.0,0.012531328320802,0
-140,-3.0,0.5,-7.0,0.7000000000000002,-59.0,-66.0,-6.0,2.0,3.0,0.0,0.0,-0.2857142857142857,1
-584,4.0,-1.1,-67.0,3.899999999999999,154.0,87.0,-3.0,-4.0,-1.0,2.0,1.0,-0.1208791208791208,0
272,2.0,1.2999999999999998,47.0,2.4,233.0,280.0,12.0,5.0,3.0,5.0,-1.0,0.1692307692307692,1
232,1.0,2.9999999999999996,160.0,-0.3999999999999994,27.0,187.0,5.0,1.0,1.0,-2.0,0.0,0.1442307692307692,1
-428,1.0,3.9,170.0,-1.7000000000000002,-64.0,106.0,5.0,-2.0,0.0,0.0,-1.0,-0.0164835164835165,0
-768,-1.0,-3.3000000000000003,-309.0,0.9000000000000004,130.0,-179.0,-8.0,-4.0,1.0,0.0,-2.0,0.1137254901960784,1
-466,5.0,0.0,-65.0,4.699999999999999,324.0,259.0,4.0,-2.0,0.0,1.0,0.0,-0.0428571428571428,0
